FID;Shape;CD_MUN;NM_MUN;CD_RGI;NM_RGI;CD_RGINT;NM_RGINT;CD_UF;NM_UF;CD_REGIAO;NM_REGIAO;CD_CONCURB;NM_CONCURB;AREA_KM2;evolucao
197;Polygon;5218805;Rio Verde;520010;Rio Verde;5203;Rio Verde;52;Goiás;5;Centro-oeste;5218805;Rio Verde;8374,254;-0,094777
15;Polygon;5201108;Anápolis;520002;Anápolis;5201;Goiânia;52;Goiás;5;Centro-oeste;5201108;Anápolis;935,672;-0,067686
18;Polygon;5201405;Aparecida de Goiânia;520001;Goiânia;5201;Goiânia;52;Goiás;5;Centro-oeste;5208707;Goiânia/GO;279,954;0,050427
223;Polygon;5220454;Senador Canedo;520001;Goiânia;5201;Goiânia;52;Goiás;5;Centro-oeste;5208707;Goiânia/GO;247,005;-0,015366
58;Polygon;5205109;Catalão;520004;Catalão;5201;Goiânia;52;Goiás;5;Centro-oeste;5205109;Catalão/GO;3826,37;-0,092703
127;Polygon;5211909;Jataí;520011;Jataí-Mineiros;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;7178,792;-0,154363
94;Polygon;5208707;Goiânia;520001;Goiânia;5201;Goiânia;52;Goiás;5;Centro-oeste;5208707;Goiânia/GO;729,296;-0,016935
70;Polygon;5206206;Cristalina;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;52;Goiás;5;Centro-oeste; ; ;6153,921;-0,08871
123;Polygon;5211503;Itumbiara;520007;Itumbiara;5202;Itumbiara;52;Goiás;5;Centro-oeste; ; ;2447,014;-0,072961
134;Polygon;5212501;Luziânia;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;52;Goiás;5;Centro-oeste;5300108;Brasília/DF;3962,107;0,063638
143;Polygon;5213103;Mineiros;520011;Jataí-Mineiros;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;9042,844;-0,10894
222;Polygon;5220405;São Simão;520012;Quirinópolis;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;415,015;-0,386213
63;Polygon;5205471;Chapadão do Céu;520011;Jataí-Mineiros;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;2184,077;-0,164545
30;Polygon;5203203;Barro Alto;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;52;Goiás;5;Centro-oeste; ; ;1080,268;-0,312414
87;Polygon;5208004;Formosa;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;52;Goiás;5;Centro-oeste;5208004;Formosa;5804,292;-0,056555
110;Polygon;5210109;Ipameri;520004;Catalão;5201;Goiânia;52;Goiás;5;Centro-oeste; ; ;4382,863;-0,187785
97;Polygon;5209101;Goiatuba;520007;Itumbiara;5202;Itumbiara;52;Goiás;5;Centro-oeste; ; ;2479,591;-0,067245
193;Polygon;5218508;Quirinópolis;520012;Quirinópolis;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;3786,026;-0,143198
173;Polygon;5215702;Palmeiras de Goiás;520015;Palmeiras de Goiás;5204;São Luís de Montes Belos - Iporá;52;Goiás;5;Centro-oeste; ; ;1537,196;-0,100293
93;Polygon;5208608;Goianésia;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;52;Goiás;5;Centro-oeste; ; ;1547,319;-0,100481
9;Polygon;5200555;Alto Horizonte;520017;Uruaçu - Niquelândia;5205;Porangatu - Uruaçu;52;Goiás;5;Centro-oeste; ; ;500,342;-0,337699
178;Polygon;5216403;Paraúna;520015;Palmeiras de Goiás;5204;São Luís de Montes Belos - Iporá;52;Goiás;5;Centro-oeste; ; ;3786,578;-0,107097
149;Polygon;5213806;Morrinhos;520008;Caldas Novas-Morrinhos;5202;Itumbiara;52;Goiás;5;Centro-oeste; ; ;2846,299;0,003753
114;Polygon;5210406;Itaberaí;520003;Inhumas - Itaberaí - Anicuns;5201;Goiânia;52;Goiás;5;Centro-oeste; ; ;1461,916;-0,112957
147;Polygon;5213756;Montividiu;520010;Rio Verde;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;1869,581;-0,04421
203;Polygon;5219308;Santa Helena de Goiás;520010;Rio Verde;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;1142,337;-0,137422
232;Polygon;5221403;Trindade;520001;Goiânia;5201;Goiânia;52;Goiás;5;Centro-oeste;5208707;Goiânia/GO;712,69;0,233427
31;Polygon;5203302;Bela Vista de Goiás;520001;Goiânia;5201;Goiânia;52;Goiás;5;Centro-oeste; ; ;1274,034;-0,013144
185;Polygon;5217401;Pires do Rio;520006;Pires do Rio;5201;Goiânia;52;Goiás;5;Centro-oeste; ; ;1077,641;-0,058279
156;Polygon;5214507;Nerópolis;520001;Goiânia;5201;Goiânia;52;Goiás;5;Centro-oeste;5208707;Goiânia/GO;204,713;0,089724
47;Polygon;5204508;Caldas Novas;520008;Caldas Novas-Morrinhos;5202;Itumbiara;52;Goiás;5;Centro-oeste; ; ;1608,523;0,141011
46;Polygon;5204409;Caiapônia;520011;Jataí-Mineiros;5203;Rio Verde;52;Goiás;5;Centro-oeste; ; ;8627,961;-0,018681
7;Polygon;5200308;Alexânia;520002;Anápolis;5201;Goiânia;52;Goiás;5;Centro-oeste; ; ;846,876;0,07788
